 21  691.744649 3.937E-26 3.590E+00.06970.090 3638.14070.73-.000535       0 6 6 01       0 5 5 01                    R 27e     3666632429 9 9 711    57.0   55.0
 21  691.750295 2.969E-28 3.370E+00.06730.080 4702.94090.75-.000753       3 1 1 02       3 0 0 02                    Q 40e     3666632429 9 9 711    81.0   81.0
 21  691.752711 3.942E-29 1.904E+00.06400.070 5072.98950.72-.001040       2 3 3 03       2 2 2 03                    R 56e     3655532429 9 9 711   115.0  113.0
 21  691.757140 6.954E-30 3.320E+00.06990.091 5392.55490.73-.000670       2 1 1 11       2 0 0 11                    Q 27e     3666632429 9 9 711    55.0   55.0
 21  691.772439 6.490E-30 1.401E+00.06660.077 5328.30490.74-.000863       3 2 2 03       3 1 1 03                    R 43e     3665632429 9 9 711    89.0   87.0
 21  691.777057 2.242E-30 4.326E+00.06780.083 5743.67860.74-.000739       1 7 7 02       1 6 6 02                    R 36e     3666632429 9 9 711    75.0   73.0
 21  691.777537 1.507E-23 2.462E+00.06510.072 2462.67570.74-.000819       1 1 1 01       1 0 0 01                    Q 52e     4755532429 9 9 711   105.0  105.0
 21  691.791375 5.443E-25 1.982E+00.07660.104 2821.80300.68-.000029       1 3 3 01       1 2 2 01                    R 12e     4666632429 9 9 711    27.0   25.0
 21  691.801846 8.740E-24 1.298E+00.07910.108 2111.99170.680.000111       1 2 2 01       1 1 1 01                    R  9e     4766632429 9 9 711    21.0   19.0
 21  691.823024 1.466E-23 2.149E+00.06940.089 2321.76500.73-.000560       0 4 4 01       0 3 3 01                    R 28f     4766632429 9 9 711    59.0   57.0
 21  691.842970 1.371E-27 3.593E+00.07460.101 4216.55040.69-.000153       1 5 5 01       1 4 4 01                    R 15f     3666632429 9 9 711    33.0   31.0
 21  691.843200 6.504E-28 2.913E+00.06730.080 4511.58780.75-.000795       1 5 5 02       1 4 4 02                    R 39f     3666632429 9 9 711    81.0   79.0
 21  691.852654 4.708E-30 2.474E+00.06490.072 5549.11670.73-.000992       2 4 4 03       2 3 3 03                    R 52f     3655532429 9 9 711   107.0  105.0
 21  691.876771 7.563E-27 9.606E-01.06630.076 3806.98470.74-.000895       0 2 2 11       0 1 1 11                    R 45f     4665632429 9 9 711    93.0   91.0
 21  691.882980 6.038E-30 3.332E+00.06940.089 5436.71200.73-.000683       2 1 1 11       2 0 0 11                    Q 29e     3666632429 9 9 711    59.0   59.0
 21  691.886663 2.417E-26 3.796E-01.07090.094 3236.51930.72-.000833       1 0 0 11       0 1 1 11                    P 24e     4666632429 9 9 711    47.0   49.0
 21  691.894195 9.671E-27 2.287E+00.06700.079 3916.33460.75-.000830       1 4 4 02       1 3 3 02                    R 41e     3665632429 9 9 711    85.0   83.0
 21  691.965362 4.221E-30 6.295E+00.06990.091 5626.73490.73-.000508       0 9 9 01       0 8 8 01                    R 26e     3666632429 9 9 711    55.0   53.0
 21  691.972426 9.101E-20 9.153E-01.06890.088  362.78830.74-.000609       0 1 1 01       0 0 0 01                    R 30e     3766632429 9 9 711    63.0   61.0
 21  691.974443 4.185E-30 1.730E+00.06940.089 5377.17670.73-.000560       1 3 3 11       1 2 2 11                    R 28f     3666632429 9 9 711    59.0   57.0
 21  691.975571 2.832E-26 2.735E+00.07520.102 3524.57490.69-.000113       1 4 4 01       1 3 3 01                    R 14f     3666632429 9 9 711    31.0   29.0
